,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
160,CD01-3,65,"[4.722159983287758, 5.1658948839193, 5.3417143604412045, 0.562493531851508, 0.5379928574136532, 0.5182729519076976, 2.522187654945221, 2.5764590980299737, 2.6079974291169257, 0.9357031009677014, 0.8967884120331943, 0.90617285418426, 1.1444252844799279, 1.390445175080571, 1.5609533674932188, 0.8240116795905454, 0.6458204951316102, 0.5814927528267702, 0.95578784, 0.77525294, 0.7326741]",4,low,-2,low,-2,low,-2
143,CD01-3,48,"[4.788356219930517, 5.18257100091087, 5.39487618371987, 0.5447118111540221, 0.5173641602685323, 0.48881053686335263, 2.5221591813122757, 2.5707857687263482, 2.6067994791608773, 0.9304827284778971, 0.892710131955103, 0.8936610249357032, 1.190324208968007, 1.546841616947425, 1.6796864071316207, 0.790403832702528, 0.5787225526887332, 0.5320774332121507, 1.0528337, 0.91744983, 0.81062526]",2,low,-4,low,-4,low,-4
369,CD01-4,82,"[4.074117064197361, 4.413592882009929, 4.6247377835001435, 0.5662382272105286, 0.5565624256319449, 0.5460102414997176, 2.507867772290383, 2.5454160963275467, 2.569519686228455, 0.9834558039459306, 0.978800618989589, 0.9619582550201686, 0.8157951379992318, 0.5850772079726893, 0.5749083617087846, 1.2269414312652192, 1.675818395327703, 1.674263169921077, 0.9417188, 0.8950629, 0.8744901]",10,optimal,0,optimal,0,optimal,0
80,CD01-1,81,"[5.1642251363429015, 5.587319899396651, 5.72707572007333, 0.5471671067090151, 0.5188794248898296, 0.49533600364564706, 2.541652731746029, 2.5916390555824615, 2.606696376762414, 0.9256146489011974, 0.9058670336675405, 0.9007647998481776, 1.0971168589491191, 1.4548029991957583, 1.8220356942504732, 0.8529160638159612, 0.6267744837156703, 0.4952474890927082, 1.108296, 0.9688108, 0.9891466]",10,high,2,high,4,high,4
117,CD01-3,22,"[4.698010791868733, 5.043504530840848, 5.195314243894476, 0.5788883593654229, 0.5575027424815922, 0.5368256462622482, 2.4794474211724706, 2.5252997421429417, 2.554829090077894, 0.917878011376998, 0.8760326127025159, 0.8791480158132352, 1.168863218022624, 1.409241590038637, 1.4822636787055365, 0.795779566654112, 0.6218858583798227, 0.593194604141776, 1.0752765, 0.84095985, 0.82139045]",6,optimal,0,optimal,0,optimal,0
236,CD01-2,45,"[4.280814411643005, 4.449842872908975, 4.61161672519702, 0.554760326679542, 0.5479325966484918, 0.5403649956833544, 2.5039718002314673, 2.5261238740040692, 2.547780544413714, 0.9709194230205483, 0.9564466302120597, 0.9437569083657922, 0.9636469335591796, 0.9046374493811288, 0.8306690607617414, 1.0081145871378523, 1.0576240610861747, 1.1366446221559123, 0.97783095, 0.9508022, 0.94346577]",6,optimal,0,optimal,0,high,2
343,CD01-4,56,"[4.016501387084543, 4.342053257904106, 4.59162585660141, 0.5774938354538102, 0.5666344670338949, 0.5550618844091617, 2.4888677456667936, 2.531342535743606, 2.564925215956215, 0.9518999194714096, 0.9623139032248081, 0.9583122014231119, 1.0135215746978128, 0.6978541750638274, 0.6191495123194036, 0.9585290031658384, 1.383125025675097, 1.5478222953809357, 0.93636066, 0.88004416, 0.876305]",8,optimal,0,optimal,0,optimal,0
296,CD01-4,9,"[4.144239245201896, 4.435150087027104, 4.672323593415946, 0.55436031627605, 0.5446387399955394, 0.532435765367037, 2.5267882285386665, 2.5552092801357382, 2.575637633960342, 0.9656196200523236, 0.9423681735335063, 0.9134078377875066, 1.093446691702722, 0.8092843282442213, 0.8764844955935286, 0.8922867116994696, 1.1651081703591006, 1.0438115834263053, 0.9479074, 0.8984589, 0.8800839]",10,optimal,0,optimal,0,optimal,0
104,CD01-3,9,"[4.6978554890948745, 5.096014760365374, 5.306237279285649, 0.5427131500379241, 0.5156374423463759, 0.48809309551670466, 2.5090979519082675, 2.5608404925510158, 2.5974723980461114, 0.9506851504628787, 0.9019140036767134, 0.9025046201763558, 1.1743760172478834, 1.5089459795844424, 1.6582862955143005, 0.8257669831923345, 0.5986298340415329, 0.5444750853567484, 1.0121243, 0.8525952, 0.7962786]",6,optimal,0,optimal,0,optimal,0
61,CD01-1,62,"[5.083541392923448, 5.547386030902551, 5.694975111842809, 0.5545936832171829, 0.5281507774158521, 0.5082808376134104, 2.576185252118072, 2.62610707125349, 2.6390226202362252, 0.9442997429966551, 0.9128865122803006, 0.9018865432262526, 1.130743935193767, 1.4616424744569692, 1.9161203219443599, 0.8420270406205028, 0.627481237780218, 0.47296430033640313, 1.0260966, 0.944296, 0.957862]",8,optimal,0,high,2,high,2
108,CD01-3,13,"[4.7735099622443204, 4.875215011220619, 4.827158309496339, 0.541883208685136, 0.5084503597147347, 0.48886908248694816, 2.495149971945851, 2.53205566214162, 2.538661394714992, 0.9140342396469752, 0.9328008645207144, 0.9872681611002779, 1.5782897149182338, 1.931051684283193, 2.070765370087739, 0.6088255071576195, 0.48307985016816, 0.47674638214540555, 1.3834212, 1.3049061, 1.1990958]",12,high,2,high,4,optimal,0
